date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 09. Januar 2024,Langsam keine alternative zum PKW…,Langsam keine alternative zum PKW Verspätungen Streiks Zugausfälle überfüllte Züge überhöhte Preise Bin nur noch genervt wenn 12 Std vor Abfahrt die Verbindung storniert wird. Geld erhält man dann 2-3 Wochen später!,5 Bewertungen,Bewertet mit 1 von 5 Sternen,Kunde,DE,,
Datum der Erfahrung: 09. Januar 2024,HH Hbf bis HH Harburg in 35 Minuten,"HH Hbf bis HH Harburg in 35 Minuten. Sarrazin hatte recht...wenn das Deutschland sein soll, dann schafft es sich ab. Lasst den Laden in den Konkurs laufen /verkauft an Flix. Dieses Unternehmen ist ein Krebsgeschwür.Aber Hauptsache die frauenquote ist erreicht und der Vorstand kann den Bonus trotzdem einstreichen. Willkommen im Sozialismus.",68 Bewertungen,Bewertet mit 1 von 5 Sternen,N. H. ,DE,,
Datum der Erfahrung: 09. Januar 2024,Die Bahn hatte 3st Verspätung und als…,Die Bahn hatte 3st Verspätung und als mit Arbeiter Bzw mit dem Mitarbeiter Ticket konnte uns kein Taxi Gutschein ausgestellt werden. Die letze Bahn war fort und wir können die nächste Bahn um 5 uhr nehmen also von 1-4 bei -7 grad chillen. Riesen Quatsch deutsche Bahn,1 Bewertung,Bewertet mit 1 von 5 Sternen,Dawda Njie,DE,,
Datum der Erfahrung: 06. Januar 2024,ÖPNV oder Peruanische Fahrradwege?,"Stehe mal wieder seit ca. einer halben Stunde, weil ein Zug auf dem Gleis vor uns liegen geblieben ist? Wäre das eine Einzelheit, kein Problem, leider ist es das nicht. Verspätungen gehören bei der DB zum Grundprogramm und die Regierung möchte, dass der ÖPNV von der Allgemeinheit mehr genutzt wird. Naja, aber dafür hat Peru jetzt schöne Fahrradwege😉.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,jst_hns,DE,,
Datum der Erfahrung: 10. Januar 2024,"Ich bin stinkig ,bei allen Verständnis","Ich bin stinkig ,bei allen Verständnis, aber es reicht .Warum streikt ihr nicht in den Ferien, nein ,wenn die Leute zur Arbeit müssen.Da trefft ihr nur uns mit ,aber nicht die da oben .anstatt eine halbe Stunde zur Arbeit zu fahren ,jetzt 2 Stunden. 4 Stunden am Tag vergeudet. Wir bekommen dafür auch nicht mehr Lohn. Ich finde es eine Unverschämtheit, uns ,das arbeitende Volk damit zu bestrafen.Denn es interessiert die da oben kein Stück ,wenn ihr streikt.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Manuela Jakubowski,DE,,
Datum der Erfahrung: 30. Dezember 2023,Tolle Bahnfahrt nach Hamburg und wieder zurück!,"Wir sind über Silvester mit dem ICE nach Hamburg und zurück gefahren und waren total begeistert. Es gab keine Verspätungen oder andere Störungen, die Toiletten waren immer sauber und wir hatten sogar Sitzplätze, obwohl wir garnicht reserviert hatten. Werden wir in Zukunft wieder nutzen. Es war eine tolle Erfahrung und lieben dank an das fleissige Team der deutschen Bahn! Alles Gute Ihnen fürs neue Jahr!",2 Bewertungen,Bewertet mit 5 von 5 Sternen,Ramona,DE,,
Datum der Erfahrung: 18. Dezember 2023,Null Kommunikation mit Kunden,"Habe meine BahnCard 50 bewusst weiterlaufen lassen und nicht gekündigt, weil ich diese immer im Nahverkehr genutzt habe. 2 Wochen nach Ablaufen der Frist hieß es plötzlich, dass diese nur noch im Fernverkehr nutzbar sei. Nichts wurde jemals kommuniziert? Ich habe der Vertragsverlängerung nur unter denselben Bedingungen zugestimmt wie bisher und nicht unter diesen abgeänderten. Natürlich hätte ich fristgerecht gekündigt, wenn ich das eher gewusst hätte.Jetzt muss ich die Rechnung für etwas bezahlen, dass ich gar nicht nutze. Bei einem Schreiben an die DB hieß es nur, dass ich eher hätte kündigen sollen. Ich bin wirklich mehr als verägert.",1 Bewertung,Bewertet mit 1 von 5 Sternen,E.,DE,,
Datum der Erfahrung: 04. Januar 2024,Katastrophe!!,"Katastrophe!!Einfach nur noch Katastrophe!!!!Ihr habt für ein Zugticket noch extra 50 Cent drauf gelegt. Wozu? Euer Service ist Sch.....Ständig Verspätung, abgesehen von den Streiks. Wie oft soll das denn noch stattfinden? Hier sind Menschen auf DB angewiesen. Alles nur noch Amateuren. Hauptsache euch geht's gut 👍Ändert verdammt nochmal endlich mal was dagegen!!! Ist ja schrecklich! Ansonsten werde ich meine Zugtickets nur noch ersetzen lassen für Verspätung/Streiks etc",3 Bewertungen,Bewertet mit 1 von 5 Sternen,Kunde,DE,,
Datum der Erfahrung: 29. Dezember 2023,Dieses Unternehmen ist einfach nur noch…,"Dieses Unternehmen ist einfach nur noch zum schämen!!!!Wieder einmal Ausfall eines Ice‘s München-Berlin….Ticket mit Sitzplatzreservierung….Anruf im Kundencenter wegen Umbuchung der Sitzplätze auf eine spätere Uhrzeit, Info- muss online gemacht werden!Online alle Sitzplätze zu späteren Zügen ausgebucht!Vielen Dank für 5 Stunden Gangsitzen!!",1 Bewertung,Bewertet mit 1 von 5 Sternen,München,DE,,
Datum der Erfahrung: 23. Dezember 2023,Die Deutsche Bahn.. ein trümmerhaufen....,"Die Deutsche Bahn... eine Frechheit wie lange es dauert , das man sein Geld für nicht erbrachte Leistung zurück bekommt... beim einziehen über die app, ist man das Geld innerhalb von Sekunden los...  dann will man Zug fahren und schwupps, erfährt man 5 min vor Abfahrt das der Zug ausfällt, warum? Keine Ahnung. Dann will man das Geld zurück und man wird von a nach b geschickt und man muss zig e Mails schreiben. Und ich warte immer noch auf Rückerstattung... seit dem 23.12.23Ein drecksladen hoch 3. Hauptsache die Manager stecken sich die Taschen voll,es fährt nie ein Zug pünktlich oder es wird gestreikt.  Schämt euch und überweist mir endlich mein Geld zurück für nicht erbrachte Leistung!",1 Bewertung,Bewertet mit 1 von 5 Sternen,S sc,DE,,
Datum der Erfahrung: 02. Januar 2024,Diebstahl und Betrug durch Hamburger Hochbahn AG/ HVV/Deutsche Bahn AG über DeutschlandTicket,"laut dem Berichte und viele Probleme mit DeutschlandTicket, ich habe immer Probleme mit der Hamburger Hochbahn AG, weil  Inkompetenten Mitarbeiter Mitarbeiterin Achten Sie überhaupt nicht darauf, dass der nicht vereinbarte Betrag von meinem Konto abgebucht wird. Ich werde den nicht autorisierten Betrag gemäß den gesetzlichen Bestimmungen § § 675x BGB und § 675j BGB auf mein Konto zurückbuchen und von meinem gesetzlichen Recht Gebrauch machen.Die Hamburger Hochbahn AG, die die Probleme absichtlich verursacht hat, MUSS alle Bankgebühren übernehmen und bezahlen.Die Menschen der Gesellschaft sind nicht verpflichtet, die gebühren für die absichtlich verursacht Probleme an Hamburger Hochbahn AG/ HVV zu zahlen. Der Kundenservice belügt mich und andere immer, betrügt immer und gibt uns immer falsche Informationen. Ich hoffe, dass schnellstmöglich ein Strafverfahren gegen das Hamburger Hochbahn AG/ HVV vor Gericht eröffnet wird.ich bin mir ganz sicher und ich garantiere Ihnen, dass all diese Probleme für das Deutschland-Ticket im Voraus geplant sind, mit dem Ziel, die Menschen in der Gesellschaft zu stehlen und zu betrügen und Geld für das Land Deutschland zu verdienen. Leider gibt es in Deutschland Sehr viel Betrug und Diebstahl, und zwar mit Bürokratie.!!",20 Bewertungen,Bewertet mit 1 von 5 Sternen,CBM Technical,DE,,
Datum der Erfahrung: 29. Dezember 2023,Preiserhöhung… wofür??,"Preiserhöhung… wofür??? Verspätung und/oder Ausfall soll auch noch belohnt werden??? Leider bin ich auf die Bahn angewiesen, doch in den letzten Monaten musste ich etliche Termine verlegen, da es die DBahn oft nicht schafft, ihre Vertragsbedingungen dem Kunden gegenüber einzuhalten. Auch der Zustand der Toiletten ist sehr oft, unter aller ……. wenn denn dann nicht abgeschlossen ist.Leider gibt es keinen Ersatz für dieses Unternehmen, ich würde sofort wechseln…",1 Bewertung,Bewertet mit 1 von 5 Sternen,Corinna Rosa Glaser,DE,,
Datum der Erfahrung: 04. Januar 2024,Tickets von Berlin nach Bielefeld,Tickets von Berlin nach Bielefeld. Sie haben ticket von flixtrain für Teil schrecken mit verkauft.  Kurz vor der Reise kam der information dass man nur Teilweise gezahlt hat und und sollte für flixbus extra zahlen. Ich dachte dass ich zu doof war um ein ticket zu kaufen bis ich mit bekam das viele der Fahrgäste das gleiche Problem wie wir haben.  90 Euro extra bezahlt.  Flixtrain  kam 12 Minuten später in Hannover an.  Ice weg  nochmal ticket kaufen.  Es war einfach ein Albtraum.,1 Bewertung,Bewertet mit 1 von 5 Sternen,pru kaba,DE,,
Datum der Erfahrung: 29. Dezember 2023,Nicht nur dass jeder Zug Verspätung hat…,"Nicht nur dass jeder Zug Verspätung hat oder einfach stehen bleibt, weil andere Züge Verspätung haben… NEIN auch der schienenerzatzverkehr bringt garnichts wenn mal wieder eine Fahrt aufällt! Einige Kontrolleure super Unfreundlich, Es ist unbequem und mit unangenehmen Geruch ist auch zu rechnen. Jede Fahrt aufs Neue wieder eine absolute Katastrophe ! Hamma find ich auch wie Kulant die deutsche Bahn ist , nämlich garnicht. Wenn Züge ausfallen Bezahlt ihr für den Ersatzverkehr Tausende von Euros. LÄCHERLICH! Lächerlich , weil dieser Ersatzverkehr ein **** bringt ! Der Bus ist grade mal beim nächsten Bahnhof, wenn der nächste Zug wieder fährt :)",1 Bewertung,Bewertet mit 1 von 5 Sternen,Stefanie Stark,DE,,
Datum der Erfahrung: 05. Januar 2024,"DB, leck mich!!!","Die Deutsch Bahn ist das, wofür sich dieses Land in Grund und Boden schämen muss. Ich bin noch nicht einmal,  seit dem ich diesen Planeten bewohne DB Langstrecke gefahren ohne dass einer dieser beschissenen Züge zu spät kam, defekt war oder was auch immer. Noch NIE!!!. Jetzt sitze ich wieder in einem der neuen ICEs... und 3X dürft ihr raten was los ist? Er hat ein Defekt.   Du kannst dich auf dieses nicht zu beschreibede Unternehmen nicht ansatzweise verlassen.  DB, leck mich... ich muss leider wieder Auto fahren!!!!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Gil Brunstein,DE,,
Datum der Erfahrung: 22. Dezember 2023,Schade das keine Null-Sterne vergeben…,"Schade das keine Null-Sterne vergeben werden können. Im Weihnachtsverkehr hoffnungslos überbrachte Züge, welche dann genau aus diesem Grund nicht fahren! Stundenlange Wartezeiten und der Folgezug fährt dann auch nicht. Dieses Unternehmen steht sinnbildlich für unser Land, ein völliger Looserladen. Macht dieses Unternehmen endlich dicht oder lasst es einfach Firmen aus dem Ausland machen…",1 Bewertung,Bewertet mit 1 von 5 Sternen,olerheinland,DE,,
Datum der Erfahrung: 26. Dezember 2023,Antrag auf Rückerstattung ist nach 3 Monaten immer noch nicht bearbeitet !!!!,"Am 18.09.2023 habe ich einen Antrag auf Rückerstattung des Differenzbetrags 1.Klasse zur 2.Klasse für eine Reise mit dem EC 115 von Ulm nach Augsburg am 19.08.2023 gestellt. Die 1. Klasse war aufgrund eines Defekts der Klimaanlage gesperrt, was vom Zugbegleiter auf dem Ticket dokumentiert wurde. Trotz mehrfachem reklamieren und einer zwischenzeitlichen Zusage der Erstattung des Differenzbetrags habe ich bis heute die Erstattung nicht erhalten. Die Deutsche Bundesbahn ist also nicht in der Lage einen Antrag vom 18.9.2023 bis heute 27.12.2023 zu bearbeiten, geschweige denn eine Rückestattung zu leisten. Vielleicht wurde der Betrag für die Bonuszahlungen der Vorstände benötigt?> >",14 Bewertungen,Bewertet mit 1 von 5 Sternen,Joachim Dr. Berner,DE,,
Datum der Erfahrung: 23. Dezember 2023,Ein Stern ist noch zuviel.,"Ein Stern ist noch zuviel.Man bekommt in 75% aller Fälle etwas Schlechteres als man bezahlt hat.Dass das schon selbstverständlich ist, ist eine große Respektlosigkeit vor dem Kunden. Die Kommunikation Kunde/Bahn ist strukturell nicht organisiert und wird dementsprechend nicht umgesetzt.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Sylvia Goldweida,CH,,
Datum der Erfahrung: 23. Dezember 2023,"Schlechter Service, überteuerte Preise","Ich kenne leider kein Unternehmen was so unzuverlässig und schlecht organisiert ist wie die DB. Schade, dass man hier so viel Geld lässt. Wären Alternativen da, würde ich diese definitiv lieber nutzen.Meine letzte Fahrt, die nach Plan verlief, ist leider bereits Jahre her...Seitdem hatte wirklich jede Fahrt Ausfälle und Verspätungen, was schon sehr traurig ist.Ich hoffe einfach, dass die DB irgendwann in der Zukunft Prozesse/ Strukturen/ Leistungen anpasst und verbessert.",1 Bewertung,Bewertet mit 1 von 5 Sternen,tO nY,DE,,
