date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 30. August 2023,Leute behaltet bloß euer Auto,"Leute behaltet bloß euer Auto. So unzuverlässig wie die DB ist, geht gar nicht. Ich fahre wenig, aber jedes Mal gibt es Probleme. Am gleichen Tag fuhren mehrere Züge, ohne Hinweis, einfach nicht nach Düsseldorf. Mir ist aufgefallen, dass plötzlich vermehrt ICE und Co. Dafür fahren. ( Geldmache!? Damit Deutschlandticketbesitzer so drauf zahlen?) Ich bin gegen 9 Uhr los und kam nicht zu neinem Gerichtstermin um 11 Uhr an. Die S11 fuhr dann Alternativ gegen 10:30 Uhr aber wäre erst gegen 12 angekommen. Somit kam ich gar nicht an. Wie sieht das aus? Sonst auch mega Wartezeiten, ich komme nie zu meinen Terminen rechtzeitig an! Was soll das? Es muss unbedingt zuverlässiger werden doer eine Alternative her.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Tina,DE,,
Datum der Erfahrung: 31. August 2023,Ein Stern ist noch zuviel,"Ein Stern ist noch zuviel, ging um Auskunft,von Mannheim-Frankfurt Airport. Mitarbeiterin meinte, dass wegen Baustelle Niederrad gesperrt  wurde. So dass weder die S8 noch die S9 Airport anfährt. Müsste dann über Mainz zum Airport Frankfurt fahren. Habe dies auch getan, in Frankfurt angekommen. Gleich zur Info und Nachgefragt, hier fährt der RE70 wie gewohnt über Niederrad. Ohne Sperrung, so dass die Mitarbeiter in Mannheim an Unfähigkeit nicht zu überbieten sind.",38 Bewertungen,Bewertet mit 1 von 5 Sternen,Andreas,DE,,
Datum der Erfahrung: 31. August 2023,Unglaublich aber war,"Unglaublich aber war . Job Ticket als Deutschland Ticket bestellt. Eine Bestellbestätigung habe ich nie erhalten, das Geld wurde jedoch vom Konto ab gezogen. Jetzt kommt es noch besser ….keine Rufnummer die gewählt wird kann einem helfen nichtmal die Kunden Hotline des Deutschland Tickets. Man kann den Auftrag sehen jedoch kann man nichts machen …auch nicht stornieren also eine wohl gemerkt nie erhaltene Bestellbestätigung des Tickets zum vorweisen bei der Kontrolle. Die deutsche Bahn bucht weiter vom Konto ab trotz Einzug der einzugsermachtigung !!!!  gehts noch ?! Es ist alles detaiert und dennoch reagiert keiner. Mir wurde gesagt ich muss via Mail kundigen, also das was ich seit dem 3.8.23 versuche !",15 Bewertungen,Bewertet mit 1 von 5 Sternen,Uthanda Ubomi,DE,,
Datum der Erfahrung: 01. September 2023,Ansich finde ich die bahnen super…,Ansich finde ich die bahnen super vorallem jetzt mit dem kostenlosem wlan und den steck Dosen.. würde der Zug nicht immer so kalt sein bei diesen Außentemperaturen in Bayern und jetzt wo für viele die Ausbildungen und Schulen wieder anfangen nicht zu spät kommen würde würde ich ihnen probleme 5 Sterne geben. :(,1 Bewertung,Bewertet mit 4 von 5 Sternen,Celina,DE,,
Datum der Erfahrung: 29. August 2023,"Alles schief gelaufen, was schief laufen konnte.","Haben heute versucht, von Aachen zurück nach Stade zu reisen... Relativ kurz vor Abreisebeginn wurde ich darüber benachrichtigt, dass in Aachen alle Bahnen nach Köln, wo wir unseren gebuchten ICE nehmen wollten, leider ausfallen. Hingen dann auf unserem Alternativweg nach Köln eine halbe Stunde lang irgendwo in Rheydt fest, weil es Reparaturen an einer Bahn gab und haben dadurch den ICE verpasst. Der Alternativ-ICE fuhr dann durch einen Fehler von wem auch immer erst in die falsche Richtung, wodurch wir dann auch noch unseren Anschlusszug in Harburg Richtung Stade verpasst haben. Kann man sich nicht ausdenken. Werden 1,5 Stunden später als geplant zu Hause ankommen. Für dieses Erlebnis sind außerdem die Bahnpreise unverschämt.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Julia,DE,,
Datum der Erfahrung: 30. August 2023,Unzuverlässig unpünktlich dreckig laut schlechte Luft,2 Tage Bahnfahrt = 2 Tage zu spät bei der Arbeit und jeweils statt 30 min jeweils ÜBER 2 STUNDEN unterwegs gewesen. Kündigung Deutschlandticket ist raus. Hauptsache Milliarden damit verdient und die Leistung ist ne Katastrophe,31 Bewertungen,Bewertet mit 1 von 5 Sternen,FU,DE,,
Datum der Erfahrung: 29. August 2023,Deutsche Bahn total ausfallUnternehmen dem die Fahrgäste egal,"Ein Unternehmen dem die Fahrgäste egal. Ein Unternehmen dem egal ist ob Züge überhaupt noch im Ruhrgebiet und Gebieten Düsseldorf, Köln, kleve verkehren. Die Ausfälle und Verspätungen haben eine Ausmaß angenommen das klar anzeigt das der Deutschen Bahn sch.... egal ist das ihre Kunden und Fahrgäste krank werden und egal ist wie diese zur Arbeit kommen. Durch die Ausfälle und Verspätungen heute dürften wohl wieder welche ihren Arbeitsplatz verlieren. Geile Leistung. Schön das man sich wegen denen jederzeit mit Kündigung rechnen muss weil man als Handwerker nicht rechtzeitig ausweichen kann oder überhaupt nicht. Nicht jeder hat einen Führerschein. Hoffe die sind stolz drauf mit welch krimineller Energie die da vorgehen.",5 Bewertungen,Bewertet mit 1 von 5 Sternen,M.Marosi,DE,,
Datum der Erfahrung: 01. September 2023,Bitte bucht euch nicht das 49 Euro…,"Bitte bucht euch nicht das 49 Euro Ticket ! Es ist so ein Knebel Abo. Man kommt nicht raus und wird nur mit automatischen Antworten abgewürgt. Ich habe für mich und meinen Mann vor 3 Monaten ein Ticket gekauft. Beim ersten Mal konnte man es gar nicht kündigen und musste sich per Mail melden. Beim zweiten Mal habe ich eine automatische Antwort bekommen, womit ich nichts anfangen konnte. Es hat mich 0,0 weitergebracht. Ich verstehe generell nicht wieso einem das so schwer gemacht wird ! Bucht euch lieber ein einmaliges Ticket oder fahrt mit dem Auto. Es lohnt sich nicht ! In meinen Augen eine ziemlich fiese Masche jemand Geld abzuziehen. DB ist nicht in der Lage einen menschlichen Mitarbeiter dafür telefonisch bereitzustellen. Schickt immer wieder nur irgendwelche  automatischen Antworten raus. Ich ärgere mich so. Man hat sich ja für so ein Ticket entschieden um etwas zu sparen. Bisher hat es mir nur deutlich mehr Geld gekostet und ganz viel nerven !",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Gentiana Thaqi,DE,,
Datum der Erfahrung: 17. Juli 2023,Kulanz ist hier Fehlanzeige,"Kulanz ist hier Fehlanzeige. Ich habe 5 Tage zu spät meine BahnCard young gekündigt unter Angabe, dass mein Vater leider 2 Tage vor Ende der  Kündigungsfrist verstorben ist und ich habe eine Sterbeurkunde eingereicht. 2 Tage zu spät.. Leider wurde aus meiner BahnCard die ich für 68€ hatte eine neue BahnCard für 244€.. Über die Preissteigerung und die automatische Verlängerung gab es auch keine Information seitens der Bahn. Traurig, dass man nicht nur als Fahrgast im Regen stehen gelassen wird, sondern auch als langjähriger Kunde!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Hannah Schräder,DE,,
Datum der Erfahrung: 29. August 2023,"Das allerletzte, schlechtester Service aller Zeiten","Wir wollten zu einer Beerdigung fahren, meine Tochter und ich. Da meine Tochter in NRW studiert, hat sie nur ein Anschlussticket für den ICE gekauft. Leider sind in ihrer Heimatstadt alle Oberleitungen im Eimer und der angekündigte SEV taucht einfach nicht auf. Ihr ICE Ticket bekommt sie vermutlich nicht zurück erstattet, denn der Zug wäre pünktlich gefahren und eine weitere Reservierung hatte sie ja nicht. Also, ihr Pech. Ganz ehrlich, die Bahn ist das allerletzte und wer die Chance hat, drauf zu verzichten, sollte das unbedingt tun. Oder ein Ticket 1. Klasse buchen, dann kriecht man dem Kunden nämlich in den Hintern. Ganz davon abgesehen, dass die Fahrt zur Beerdigung ihres Opas für meine Tochter ins Wasser fällt, obwohl wir rechtzeitig geplant und gebucht haben.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Jessica Weinig-Bach,DE,,
