date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 16. September 2024,Wo sind pünktliche saubere Züge,"Wo sind pünktliche Züge, die sauber sind!Ich würde mit Abo und dauerhaft mit der Bahn fahren aber die schlechte rückständige Organisation ist eine Schande für Deutschland.DB wird als Sinnbild für Deutschland gesehen im Ausland lachen die Menschen über uns. Was fehlt? Intelligenz oder der Wille?",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Haydar Meydan,DE,,
Datum der Erfahrung: 14. September 2024,Keine Bereitschaft zum Dialog,"Ich kann mich den vielen schlechten Bewertungen für die Deutsche Bahn AG nur anschließen!Selbst mit der der immer wieder angeforderten Auftragsnummer können keine Änderungen für eine alternative Buchung vorgenommen werden.Die Hotline ist eine einzige Katastrophe! Unfreundliche und inkompetente Mitarbeiter, die keinerlei Bereitschaft zur Klärung des Sachverhalts, zeigen! Schlecht, schlecht, schlecht!!Ein Stern ist noch zu viel für einen miserablen Service!",22 Bewertungen,Bewertet mit 1 von 5 Sternen,Andy Coroles,AT,,
Datum der Erfahrung: 16. September 2024,Die Verspätungen insgesamt in allen…,Die Verspätungen insgesamt in allen Bereichen ist reine Katastrophe Hannover - München Heute zum Beispiel Plus 1 Stunde mehr... das ist eindeutig zu lang. ,2 Bewertungen,Bewertet mit 1 von 5 Sternen,Bernd,DE,,
Datum der Erfahrung: 11. September 2024,NICHT BAHN FAHREN GANZ SCHLECHTE IDEE ,Ständig Baustellen und sein Ziel in annehmbarer Zeit zu erreichen ist schlichtweg nicht mehr möglich. Züge fallen einfach aus oder blockieren sich gegenseitig. Wie wär’s mal mit Reinvestition von Gewinnen statt Bereicherung von unfähigen Vorständen?! ,51 Bewertungen,Bewertet mit 1 von 5 Sternen,FU,DE,,
Datum der Erfahrung: 07. September 2024,DB der zuverlässige :D,"Wenn die Deutsche B***bahn schon auf Insta in den Kommentaren Kritikunfähig ist, dann eben hier den Schnitt noch weiter runterziehen. Wenn der Konzern so viel Energie in das Menschen befördern stecken würde, wie in politische sinnlose Statements zu setzen. Dann könnte die DB in 150 Jahren evtl. annähernd den Fahrplan einhalten. Naja der d**** Steuerzahler darf das ganze noch finanzieren. Deutsche Bahn AG auflösen, verstaatlichen und die neue  DB mit neuem Namen aufbauen. Der Name ist verbrannt und auch das Ausland verbindet damit nur negatives. Auslachen tun die uns sowieso deswegen",5 Bewertungen,Bewertet mit 1 von 5 Sternen,Peter G.,DE,,
Datum der Erfahrung: 15. September 2024,Fahrplan Auskunft über www ein kaos,"Fahrplan Auskunft über www ein kaos, werde von einer Seite zur nächsten geschickt. Alles Glückssache. Das ist ein Sch…Laden. Armes Deutschland wir werden zum 3. Welt Land.Nur die Bonzenbäuche werden immer fetter. Ich könnte mich erbrechen 🤮!!!!",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Inky,DE,,
Datum der Erfahrung: 10. September 2024,Leider funktioniert hier gar nichts…,"Leider funktioniert hier gar nichts mehr… quasi jeder Zug verspätet, kein Bordrestaurant (entweder kein Wasser, kein Personal oder keine Mikrowelle). Ich fahren mindestens 2x die Woche und was seit Covid mit der DB passiert ist, ist nicht in Worte zu fassen. In allen normalen Betrieben hätte man schon lange einen neuen Vorstand oder wäre insolvent. Eine (weitere) Schande für Deutschland.",6 Bewertungen,Bewertet mit 1 von 5 Sternen,Daniel Krauss,DE,,
Datum der Erfahrung: 12. September 2024,DB ist das schlimmste transport in Deutschland,DB ist das schlimmste transport in Deutschland... Man kann sich garnicht verlassen. Jedesmal entweder Ausfälle oder Verspätungen... wenn man umsteigen muss dann braucht man 3 Stunden vorher los fahren....,1 Bewertung,Bewertet mit 1 von 5 Sternen,David David,DE,,
Datum der Erfahrung: 05. September 2024,Zum schlechten Service wird man auch noch frech verarscht,"Ich habe jede Hoffnung auf Besserung aufgegeben. Planmäßig irgendwo ankommen funktioniert mittlerweile in 100% der Fälle gar nicht mehr. Mir ist unbegreiflich, wie man so sehr versagen kann... Als Besitzer des Deutschlandtickets muss ich den Zubringer (SBahn, RB, RE) zum ICE trotzdem immer nochmal bezahlen, weil sonst bei der mit Sicherheit eintretenden Verspätung die Zugbindung für den verpassten ICE nicht aufgehoben wird.  ",5 Bewertungen,Bewertet mit 1 von 5 Sternen,Mario B.,DE,,
Datum der Erfahrung: 10. August 2024,Deutsche Bahn Personalabteilung Koblenz…,"Deutsche Bahn Personalabteilung Koblenz lehnt Bewerber wegen Übergewicht ab. Trotz vorheriger Arbeitsstelle mit einem Laufpensum von bis zu 10 km pro Tag. Aber werben damit das sie tolerant sind und deshalb die Anrede Herr/Frau nicht mehr benutzen. Das ich nicht lache. Toleranz nur bis zu eigenen Nasenspitze. Für uns war die Absage ein Segen denn die SBB ( Schweizer Bahngesellschaft) ist ein deutlich DEUTLICH!!!!! besserer Arbeitgeber. Seit drei Jahren schon bei der SBB dabei, Übergewicht kein Problem und noch nicht einen Tag krank gewesen!Gott sei dank. Würde sagen Pech gehabt DB. Das nächste mal Augen auf bei der Petsonalsuche PS Datum der Erfahrung 06/2020",6 Bewertungen,Bewertet mit 1 von 5 Sternen,Roterblitz,DE,,
