date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 19. August 2023,1 Stern,"1 Stern, weil weniger nicht geht. Wir sind Richtung München und zurück gefahren, beide Male ohne Klimaanlage bei 30 Grad- wobei wir auf der Rückfahrt unser Zugabteil wie auch die dort reservierten Plätze nicht fanden, weil diese kurzfristig abgekappt wurden (die Info kam nur von Mitfahrenden). Kein Zug kam pünktlich und 2 Ersatzzüge sind ausgefallen sowie die darauffolgenden Züge. Wir haben uns gefühlt wie im tiefsten Slum keine Ahnung wo. Alles voller als voll. Alles war alt, dreckig und wirklich traurig, wenn man bedenkt dass wir in Deutschland leben. Wäre toll, wenn da mal was erneuert werden würde.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Pia Soltendieck,DE,,
Datum der Erfahrung: 29. August 2023,Lieber mit dem Auto fahren,"Lieber mit dem Auto fahren. Da kann man sich wenigstens sicher sein, dass man in humaner Zeit nach Hause kommt.Bei meinem zukünftigen Job werde ich auf jeden Fall darauf achten, dass ich nicht auf den Zug angewiesen bin.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Daniel S.,DE,,
Datum der Erfahrung: 13. August 2023,Saftladen hoch drei,"Wir sind mit dem 49 Euro Ticket von Ulm nach Dresden und zurück bzw. in den neuen Bundesländern mit der Bahn und diversen regionalen Anbietern unterwegs gewesen. Während in den neuen Bundesländern ein super ausgebautes Verkehrsnetz existiert welches außer von Rentnern und ein paar Touristen kaum genutzt wird sah die Lage auf den Kernnetzen der Bahn genau anders herum aus. Wir durften das volle Programm genießen von ausgefallenen Zügen, verspäteten Zügen mit verpasstem Anschluss und überfüllten Zügen mit mehreren Stunden stehen. So ein Saftladen ! Ich kann das schlechte Image der Bahn voll nachvollziehen und auch alle die lieber mit anderen Verkehrsmitteln unterwegs sind. Da klappt erschreckend wenig und mir tun die leid welche auf die Bahn angewiesen sind. Für mich ist zumindest für die nächte Zeit Schluss mit dieser Schande für Deutschland.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Matthias Vintar,DE,,
Datum der Erfahrung: 14. August 2023,Jeder einzelne ICE ist verspätet,"Jeder einzelne ICE ist verspätet. Immer. Von Köln nach München zu reisen ist unmöglich, weil dann plötzlich immer irgendwas nicht stimmt und sich die Fahrt dann immens verzögert. Einmal wegen mangelndem Personal, einmal wegen Weichenstörung, Stellenwerkstörung, Verspätung eines vorausfahrenden Zuges... Die vermiesen einem echt alles. Ich wollte gerade in den Urlaub fahren... Danke deutsche Bahn. Für nichts!",1 Bewertung,Bewertet mit 1 von 5 Sternen,YMI .,DE,,
Datum der Erfahrung: 28. August 2023,Absolute Abzocke und Unzuverlässigkeit,Absolute Abzocke und Unzuverlässigkeit. Die Preise sind für eine ICE fahrt  von 50 min die letztenendes 3 Stunden dauert nicht zu tolerieren,2 Bewertungen,Bewertet mit 1 von 5 Sternen,renata kristo,DE,,
Datum der Erfahrung: 23. August 2023,Der Turmbau zu Babel,"Am 23.8.2023 fuhr ich per ICE von Münster nach Reutlingen. Der erste ICE hatte schließlich über 40 Minuten Verspätung. Den Anschluss-ICE bekam ich, da der auch 45 Minuten Verspätung hatte. In Stgart musste ich auf den Zug nach Nürtingen lange warten. Ab Nürtingen war ein SEV eingerichtet. Die Ausschilderung zu der Bushaltestelle war ungenügend. An der Bushaltestelle teilte uns ein Lotse mit, dass gleich der schnelle Bus nach Reutlingen käme. Der kam dann aber nicht. Für den SEV war ein Busunternehmen engagiert, dessen Busfahrer aus Gründen von Übelkeit nicht fahren könne. Irgendwann kam dann ein Bus, bei dem zunächst nicht zu klären war, wohin der überhaupt fuhr. Ein Infoschild steckte nicht vorne an der Scheibe. Der Lotse sprach zwar Deutsch, aber kein Englisch, der Busfahrer Englisch, aber kein Deutsch. Schließlich erfuhren wir um 19.40 Uhr, dass der Bus um 20.10 Uhr fahren würde. Wartebänke standen nicht zur Verfügung. Insgesamt kam ich mit 90 Minuten Verspätung in Reutlingen an.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Gutsfeld,DE,,
Datum der Erfahrung: 29. August 2023,Trotz Sitzplatz Reservierung keine…,"Trotz Sitzplatz Reservierung keine Plätze, da es die Waggons nicht gibt. 3 Stunden mit 4 Koffern gestanden,  da der Zug voll ausgelastet war. Traurig aber wahr.",11 Bewertungen,Bewertet mit 1 von 5 Sternen,Silke R.,DE,,
Datum der Erfahrung: 02. September 2023,Trotz eines . Klasse Tickets vertrieben,Trotz eines 1. Klasse Tickets wurden wir auf unfreundlicher Art und Weise vertrieben. Sowas geht echt nicht.,1 Bewertung,Bewertet mit 1 von 5 Sternen,Jonas Schiller,DE,,
Datum der Erfahrung: 30. August 2023,Ich verliere mein Job bald wegen DB…,"Ich verliere mein Job bald wegen DB Verspätungen ,,  danke DB für diese voll schlechte Service . Sie sind nur am entschuldigen.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Terminator Germany,DE,,
Datum der Erfahrung: 13. August 2023,Zugfahrt mit Regionalbahn,"Ich bin mit der Regionalbahn von Rostock nach Hamburg gefahren. In Schwerin kam dann die Durchsage, dass die Bahn überfüllt ist und Gäste die nicht reisen müssen gebeten werden auszusteigen, andernfalls wird die Bahn von der Bundespolizei geräumt. Nach 45 Minuten ging es weiter, allerdings nur bis Hamburg Bergedorf wegen Oberleitungsschaden.Ich schreibe diese Bewertung weil ich mir wünsche das Bahn fahren attraktiver wird und ich hoffe das die Bahn sich mit ihren Kundenbewertungen auseinander setzt.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Katrin,DE,,
