date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 20. Dezember 2023,Teuer und unpünktlich,"Der teure ICE hat es tatsächlich geschafft, heute die Abfahrtsverspätung in Wuppertal von 27 Minuten auf eine Ankunftsverspätung in Bielefeld von 46 Minuten auszuweiten. Alle Achtung, das schaffen Franzosen oder Schweizer nicht.Ansage: „Da es ja jetzt länger dauert, können Sie in unserem Bistro Snacks und Getränke kaufen“. Sehr witzig, die Bahn müsste eigentlich alle Fahrgäste einladen. Solche Verkaufsförderungsmaßnahmen braucht kein Mensch.Die Bahn ist das Letzte, das ist ja schon bekannt. Es ist wirklich unglaublich, dass sich seit Jahren nichts verbessert.",17 Bewertungen,Bewertet mit 1 von 5 Sternen,Stefan Michels,DE,,
Datum der Erfahrung: 21. Dezember 2023,Ohne Worte,"Es wurden Sitzplätze gebucht, 2x Fenster gegenüber liegend. Ein Platz also auf jeden Fall in Fahrtrichtung. Da die Bahn aber einfach die Wagennummern änderte mussten wir die gesamte Strecke getrennt und beide rückwärts sitzen- ich finde es einfach nur traurig",1 Bewertung,Bewertet mit 1 von 5 Sternen,Kunde,DE,,
Datum der Erfahrung: 21. Dezember 2023,1. Klasse Tickets ohne Sitzplätze bei 9 Std. Fahrt,"1.Klasse ohne Reservierung Ich hatte meine Reise in die Schweiz gebucht und das Upgrade 1. Klasse mitgebucht. Nun wollte ich meine Plätze unmittelbar im Anschluss reservieren und das ist nicht möglich. Ich dachte es ist ein Scherz, aber diese Abzocker haben mir die 1.Klasse ohne Sitzplätze zu haben verkauft. Die 2. Klasse hatte Plätze. Ich fahre nicht 9Std. im stehen!!! Hoffentlich geht der Laden bald pleite! Was eine miese Methode…",148 Bewertungen,Bewertet mit 1 von 5 Sternen,Steve1,DE,,
Datum der Erfahrung: 21. Dezember 2023,Würde lieber 0 Sterne geben aber das…,"Würde lieber 0 Sterne geben aber das geht leider nicht :(Wie können so oft Züge ausfallen oder zu spät kommen. Fünf bis Zehn oder sogar zwanzig Minuten ist unverschämt und die Norm. Wozu wollt ihr höhere Gehälter wenn ihr euren Job sowieso nicht machen könnt. Es ist so frustrierend. Und dann meckertman über 6 Tage Wochen, Bruder was?????? das ist f***ing normal. Ihr seid so ein Witzverein. Meine Fresse, bringt euch um ihr kleinen Heulsusen manche Leute da draußen haben es wirklich hart. F*ckt euch 8=========D💦💦💦 🙏 ich muss mich jeden Tag zurückhalten irgendjemandem von euch eine in die Fresse zu geben W*chser.",3 Bewertungen,Bewertet mit 1 von 5 Sternen,John Doe,DE,,
Datum der Erfahrung: 15. Dezember 2023,"Verdreckte Züge, Unpünktlichkeit und teuer","Und schon wieder eine schlechte Erfahrung beim Reisen mit der Deutschen Bahn AG.Würden die Millionen an Boni Zahlungen an die Vorstände sinnvoll eingesetzt, wäre es zwar immer noch nur „ein Tropfen auf den heißen Stein“, aber immerhin wäre der Versuch da etwas zu verbessern und höchstwahrscheinlich auch das Verständnis aller, die sich über die Boni Zahlungen nur Wundern können. Ekelhaft.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,RW,DE,,
Datum der Erfahrung: 14. Dezember 2023,Auf die Unpünktlichkeit der deutschen…,"Auf die Unpünktlichkeit der deutschen Bahn muss man ja nicht mehr eingehen und mit dem 49€ Deutschlandticket auch einigermaßen verschmerzbar, wenn man sich darauf einlassen kann. Ich kann es leider nicht. Daher zum Grund meiner Bewertung. Kündigungsfrist bis zum 10.?! Jetzt darf ich noch für Januar löhnen, obwohl ich es einfach nicht mehr benötige. Vielen Dank für die transparente und kundenfreundliche Firmenpolitik. In Zukunft werde ich einen noch größeren Bogen um dieses Unternehmen machen.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Andreas N.,DE,,
Datum der Erfahrung: 11. Dezember 2023,Genau mein Humor,"Hier findet man den Link den man leider hier nicht angeben darf: investigativ/ndr-wdr bahnGenau mein Humor:Bei der Mitarbeiterzufriedenheit hatte der Vorstand das Ziel, dass diese nicht weiter sinken dürfe. Weil die Stimmung bei den Angestellten 2022 dann doch leicht besser war, gilt dieses Ziel als übererfüllt. Die Konsequenz: Für die Bahnvorstände steigt der anteilige Bonus auf 175 Prozent.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Siegfried Rudolph,DE,,
Datum der Erfahrung: 15. Dezember 2023,Ein Zugreisender der deutschen Bahn zu…,"Ein Zugreisender der deutschen Bahn zu sein, ist so nervenaufreibend und deprimiert wie sonst sehr wenig. Es raubt jedes mal aufs Neue die letzte Kraft, überrascht sogar noch an Unannehmlichkeiten und macht das Leben schwer. Schlechter könnte eine Bahngesellschaft nicht laufen. Vollends enttäuschend.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Kunde,DE,,
Datum der Erfahrung: 02. Dezember 2023,"Unpünktlich, teuer, schlecht","Es ist mittlerweile ein absolutes Highlight, wenn ein Zug mal pünktlich ist. Das ist schon absurd, denn sowas sollte eigentlich selbstverständlich sein. Hinzu kommen ständig Ausfälle, defekte Toiletten, keine Möglichkeit des Kompfort-Check-Ins und vieles mehr wie falsche Wagenreihungen, nicht korrekte Anzeigetafeln, fehlender oder nicht ausgestatteter Speisewagen. Ich bin als Pendler leider auf die Bahn angewiesen - und hasse das. Ich kann absolut nicht verstehen, wieso die Politik nicht endlich reagiert. Statt den Vorstand zu entlassen, gibt es nun fette Bonuszahlungen. Das ist regelrecht skandalös, dass so ein eklatentes Versagen auch noch belohnt wird.",12 Bewertungen,Bewertet mit 1 von 5 Sternen,Philipp ,DE,,
Datum der Erfahrung: 16. Dezember 2023,Da will man einmal mit dem Zug fahren…,"Da will man einmal mit dem Zug fahren und es war caos. Total überfüllte Züge,  kaputte Türen,  Zugbegleider die uns falsche Auskünfte gaben auf welcher Seite man aussteigen muss, hatten gefragt da auf der einen seite die tür defekt war. Verspätung..",5 Bewertungen,Bewertet mit 1 von 5 Sternen,Angela Borgstedt,DE,,
