date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 10. Mai 2024,Abzocke-Masche!?,"Abzocke-Masche!?! Mein Sohn nutzt das Deutschlandticket. Kündigung erfolgte zum 30.11.23 und wurde bestätigt. Neues Abo am 1.2.24 abgeschlossen und alle Beträge ordnungsgemäß bezahlt. Im Mai kam dann ein Schreiben von Universum Inkasso mit einer Forderung von über 200€ für das alte, gekündigte Abo. Wie bitte?? Kontakt mit Universum aufgenommen und Fall geschildert (Bestätigung der Kündigung von DB ebenfalls zugeschickt). Man sagte, man kümmert und meldet sich. Bisher nichts mehr gehört. Dann hoffe ich mal, dass die Forderung der DB zurückgenommen wurde - aber eine Info geschweige denn eine Entschuldigung bekommt man nicht. Eine Frechheit wie ich finde oder ist es eine Masche Menschen einzuschüchtern und an Geld zu kommen? So behandelt man keine Kunden, es sei denn man will sie vergraulen. Für mich war‘s das mit der DB - ich fahre lieber Auto, da werde ich nicht beschissen!",7 Bewertungen,Bewertet mit 1 von 5 Sternen,Tanja,DE,,
Datum der Erfahrung: 23. Mai 2024,Sehr schlecht Alternative Gewünscht ,"Gefallen bei der deutschen Bahn?Verspätung, Überfüllung und Stress.Seit ich mit der DB fahren muss war ich keinen Tag pünktlich bei der Arbeit .Das ist lächerlich .Die DB sollte vielleicht erstmal anfangen Zu Arbeiten bevor alle noch mehr Streiken Wegen der Faulheit und Umorganisation der DB gehen Gute Unternehmen kaputt .....Hauptsache Lokführer und Schaffner werden Übertariflich Bezahlt und bekommen immer mehr durch Heulen und Zuhause bleiben Fauler Drecksverein ",1 Bewertung,Bewertet mit 1 von 5 Sternen,Christian Römhild,DE,,
Datum der Erfahrung: 09. Juni 2024,Absolutes lächerliches und erbärmliches…,Absolutes lächerliches und erbärmliches Unternehmen mit entsprechendem Service. Gibt Euch einfach: Simplicissimus auf YouTube „Wird die Deutsche Bahn jemals besser?“Dieses Unternehmen und ihr Service ist eine Schande für Deutschland.,5 Bewertungen,Bewertet mit 1 von 5 Sternen,y,DE,,
Datum der Erfahrung: 08. Juni 2024,Unzuverlässig ,Unzuverlässig Ständig Verspätungen und hat keinen Bock Verantwortung für seine Fehler zu übernehmen. Fahrgastrechte einfordern wird einen so schwer gemacht wie möglich ,2 Bewertungen,Bewertet mit 1 von 5 Sternen,Robert B.,DE,,
Datum der Erfahrung: 07. Juni 2024,Innerhalb von 5 stunden 4 züge mit…,"Innerhalb von 5 stunden 4 züge mit verspätung, musste schon 2 mal umdenken und jetzt den letzten zu nach hause wegen 1ner minute verpasst.Muss jetzt eine ganze stunden warten.Fahre 1-2 mal im quartal bahn und es läuft nie, wirklich NIE reibungslos ab",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Lemi K.,DE,,
Datum der Erfahrung: 04. Juni 2024,Unglaublich wie schmalspurintelligent…,"Unglaublich wie schmalspurintelligent die MA dieses Konzerns sind. Ich möchte zwei Tickets buchen für meine Eltern. Ich gehe auf 'Tickets für andere Person buchen', kann jedoch nur eine andere Person auswählen. Wie zur Hölle macht das Sinn? Buche ich sonst zwei Tickets, jeweils eins für jede Pobacke? Herr lass Hirn regnen oder diesen Konzern insolvent gehen ..bitte",35 Bewertungen,Bewertet mit 1 von 5 Sternen,Niklas Hoepfner,DE,,
Datum der Erfahrung: 08. Juni 2024,Kleine Verspätung ohne Verpflegung,Fahre gerade mit dem ICE von Hamm nach Berlin. Abfahrt mit 5 min. Verspätung. Inzwischen ist die Verspätung aufgeholt (bei Herford). Es gibt mal wieder gar kein gastronomisches Angebot. Also ohne Kaffee bis Berlin.,2 Bewertungen,Bewertet mit 3 von 5 Sternen,Hase,DE,,
Datum der Erfahrung: 07. Juni 2024,Eine reine Katastrophe!!!,Eine reine Katastrophe!!!! Zug steht seit 2 std kurz vor den Bahnhof und fährt nicht rein wegen Platzmangel! Wie unorganisiert kann man nur sein! Unfassbar schlechter Service und Planung! Ich bin entsetzt über diese Dreistigkeit ,1 Bewertung,Bewertet mit 1 von 5 Sternen,mia Tab,DE,,
Datum der Erfahrung: 03. Juni 2024,Ticketkauf für VBB eine Katastrophe,"Ticketkauf für VBB eine Katastrophe. Beratung gibt es nur, wenn man ein Ticket kauft um zu einem der wenigen Stellen zu fahren, wo man noch auf Menschen trifft. Also wurde das Ticket per App gekauft. Schon wenige Minuten danach bemerkten wir, dass wir einen Fehler gemacht hatten und wollten das Ticket stornieren. Das war nicht möglich. 79,50 Euro in den Wind. Ist das die versprochene Verkehrswende? ",6 Bewertungen,Bewertet mit 1 von 5 Sternen,Sabine,DE,,
Datum der Erfahrung: 03. Juni 2024,Züge ständig zu spät oder kommen…,Züge ständig zu spät oder kommen garnicht. Aber wehe man vergisst Abo zuhause oder Akku ist leer. Trotz vorzeigen am nächsten Tag muss man Bußgeld zahlen. Monatlich wird natürlich die Gebühr immer schön abgebucht.,2 Bewertungen,Bewertet mit 1 von 5 Sternen,Carmelo Farruggello,DE,,
